			O1				O2				O3			
19	1	1	646.43	162.26	648.24	159.44	646.79	162.73	648.68	159.50	646.71	162.48	648.50	159.54
20	1	1	645.44	161.56	647.23	158.85	646.03	162.21	647.50	159.13	645.50	161.77	647.43	158.81
21	1	1	644.47	160.87	646.16	158.21	644.51	161.21	646.44	158.52	644.46	161.14	646.44	158.11
22	1	1	643.50	160.23	645.15	157.60	643.47	160.47	645.71	157.90	643.39	160.47	645.37	157.42
23	1	1	642.49	159.59	644.23	156.99	642.84	159.94	644.78	157.02	642.24	159.66	644.34	156.75
24	1	1	641.48	158.94	643.27	156.30	641.99	159.34	643.73	156.39	641.19	158.83	643.37	156.04
25	1	1	640.43	158.25	642.31	155.62	640.78	158.65	642.65	155.72	640.31	158.11	642.45	155.37
26	1	1	639.31	157.40	641.25	154.85	639.59	157.81	641.60	155.05	639.42	157.37	641.43	154.65
27	1	1	638.33	156.63	640.29	154.12	638.48	156.92	640.55	154.30	638.47	156.64	640.37	153.94
28	1	1	637.39	155.93	639.27	153.34	637.71	156.35	639.55	153.54	637.42	155.90	639.30	153.19
29	1	1	636.51	155.29	638.38	152.70	636.66	155.72	638.50	152.85	636.44	155.26	638.38	152.50
30	1	1	635.55	154.63	637.59	152.07	635.42	154.78	637.55	152.22	635.43	154.64	637.48	151.76
31	1	1	634.53	153.90	636.71	151.21	634.55	153.95	636.53	151.48	634.27	153.94	636.48	150.92
32	1	1	633.69	153.30	635.69	150.43	633.69	153.31	635.84	150.86	633.20	153.15	635.49	150.18
33	1	1	632.61	152.53	634.64	149.72	632.76	152.64	635.03	149.92	632.25	152.29	634.46	149.50
34	1	1	631.57	151.70	633.68	149.04	631.95	152.03	633.96	149.15	631.35	151.41	633.44	148.83
35	1	1	630.58	150.85	632.69	148.28	630.91	151.22	632.95	148.49	630.36	150.49	632.37	148.07
36	1	1	629.70	150.14	631.72	147.50	629.79	150.29	632.02	147.77	629.54	149.74	631.51	147.40
37	1	1	628.67	149.38	630.66	146.70	628.68	149.32	631.10	146.85	628.59	148.94	630.56	146.60
38	1	1	627.67	148.58	629.67	145.99	627.81	148.55	630.25	145.94	627.67	148.22	629.59	145.77
39	1	1	626.67	147.76	628.69	145.26	627.01	147.83	629.25	145.14	626.75	147.53	628.61	145.03
40	1	1	625.70	146.94	627.81	144.53	625.98	146.92	628.29	144.31	625.68	146.73	627.57	144.25
41	1	1	624.76	146.09	627.02	143.79	625.07	146.15	627.36	143.46	624.65	145.92	626.64	143.51
42	1	1	623.86	145.18	626.21	142.95	624.23	145.46	626.44	142.71	623.72	145.10	625.83	142.82
43	1	1	623.00	144.26	625.33	142.02	623.20	144.53	625.44	141.97	622.94	144.31	625.16	142.19
44	1	1	622.24	143.49	624.49	141.19	622.19	143.50	624.47	141.16	622.12	143.44	624.49	141.42
45	1	1	621.29	142.58	623.59	140.28	621.22	142.47	623.57	140.29	621.32	142.56	623.70	140.43
46	1	1	620.41	141.71	622.85	139.47	620.43	141.62	622.88	139.47	620.54	141.74	622.90	139.52
47	1	1	619.54	140.76	622.08	138.57	619.62	140.80	622.24	138.62	619.62	140.82	622.02	138.55
48	1	1	618.65	139.69	621.28	137.60	618.82	139.88	621.46	137.63	618.77	139.95	621.25	137.69
49	1	1	617.96	138.78	620.60	136.75	618.04	138.84	620.58	136.78	617.77	138.85	620.41	136.68
50	1	1	617.25	137.91	619.90	135.82	617.27	137.77	619.90	135.91	617.03	137.92	619.79	135.86
51	1	1	616.43	136.81	619.28	134.93	616.52	136.71	619.17	134.86	616.34	136.98	619.22	135.03
52	1	1	615.79	135.80	618.64	133.96	615.91	135.84	618.60	134.02	615.60	135.98	618.67	134.05
53	1	1	615.19	134.85	617.90	132.94	615.17	134.77	617.92	132.97	614.92	135.04	618.08	132.98
54	1	1	614.46	133.75	617.19	131.95	614.47	133.73	617.26	131.90	614.37	134.25	617.38	132.00
55	1	1	613.79	132.73	616.63	131.02	613.81	132.74	616.56	130.86	613.66	133.19	616.55	131.03
56	1	2	608.41	120.41	611.37	120.00	608.35	120.05	611.15	119.66	608.27	120.51	611.51	120.13
57	1	2	608.22	119.20	611.24	118.81	608.26	119.17	611.03	118.79	608.10	119.43	611.46	119.12
58	1	2	608.05	117.90	611.08	117.52	608.00	118.00	610.94	117.64	607.93	118.32	611.40	117.92
59	1	2	607.90	116.73	610.92	116.30	607.81	116.94	610.84	116.43	607.79	117.23	611.19	116.64
60	1	2	607.69	115.51	610.74	115.02	607.52	115.67	610.69	115.20	607.63	115.94	610.89	115.41
61	1	2	607.47	114.26	610.59	113.81	607.40	114.09	610.57	113.92	607.49	114.53	610.68	114.17
62	1	2	607.28	113.10	610.41	112.59	607.36	113.01	610.48	112.80	607.35	113.24	610.58	112.94
63	1	2	607.10	111.90	610.16	111.35	607.23	112.19	610.48	111.58	607.18	112.28	610.54	111.73
64	1	2	606.95	110.70	609.86	110.13	607.00	111.09	610.21	110.38	606.84	111.24	610.38	110.50
65	1	2	606.78	109.50	609.53	108.90	606.82	110.10	609.86	109.16	606.65	109.94	610.13	109.27
66	1	2	606.57	108.39	609.22	107.73	606.53	108.98	609.35	108.00	606.51	109.25	609.88	108.03
67	1	2	606.26	107.21	608.92	106.53	605.98	107.35	609.12	106.78	606.11	108.25	609.30	106.92
68	1	2	605.90	105.97	608.65	105.27	605.77	106.51	608.83	105.59	605.56	106.37	608.88	105.72
69	1	2	605.53	104.77	608.39	104.06	605.36	104.97	608.52	104.39	605.35	105.08	608.66	104.55
70	1	2	605.22	103.33	608.15	102.88	605.12	103.52	608.40	103.13	605.12	103.70	608.51	103.28
71	1	2	605.11	101.94	607.92	101.65	604.96	102.30	608.25	101.90	604.95	102.48	608.37	102.01
72	1	2	605.06	100.64	607.71	100.34	604.86	101.10	608.04	100.67	604.79	101.33	608.18	100.81
73	1	2	604.90	99.56	607.54	99.12	604.69	99.80	607.89	99.39	604.64	99.97	607.96	99.56
74	1	2	604.68	98.45	607.40	98.03	604.53	98.80	607.73	98.21	604.61	98.97	607.72	98.35
75	1	2	604.47	97.37	607.21	96.83	604.33	97.53	607.41	96.95	604.36	97.82	607.46	97.12
76	1	2	604.18	96.06	606.99	95.53	604.12	96.24	607.21	95.76	604.04	96.44	607.22	95.87
77	1	2	603.94	94.63	606.79	94.28	603.87	95.02	607.06	94.48	603.80	95.06	607.09	94.66
78	1	2	603.90	93.32	606.59	93.07	603.59	93.88	606.92	93.26	603.66	94.12	606.86	93.42
79	1	3	659.83	182.43	662.55	176.95	659.40	182.65	662.47	176.62	659.67	182.93	662.70	176.57
80	1	3	658.67	181.87	661.33	176.35	658.69	182.29	661.73	176.23	658.34	182.20	661.71	176.09
81	1	3	657.65	181.38	660.27	175.85	657.68	181.85	660.76	175.69	657.30	181.54	660.71	175.59
82	1	3	656.53	180.84	659.11	175.32	656.67	181.45	659.88	175.15	656.38	180.96	659.58	175.02
83	1	3	655.44	180.31	657.99	174.82	655.47	180.94	658.84	174.50	655.53	180.51	658.33	174.40
84	1	3	654.42	179.79	656.88	174.35	654.62	180.55	657.72	173.89	654.85	180.23	657.25	173.92
85	1	3	653.31	179.25	655.63	173.85	653.97	180.25	656.57	173.44	653.92	179.94	656.09	173.47
86	1	3	652.26	178.79	654.52	173.39	652.71	179.74	655.37	173.04	652.69	179.54	654.95	173.08
87	1	3	650.98	178.31	653.36	172.83	651.44	179.13	654.26	172.67	651.10	178.94	653.67	172.62
88	1	3	649.93	177.93	652.39	172.32	650.32	178.53	653.07	172.24	649.88	178.41	652.62	172.18
89	1	3	648.80	177.51	651.26	171.76	649.20	177.97	651.93	171.78	648.67	177.87	651.45	171.66
90	1	3	647.87	177.14	650.15	171.30	648.20	177.53	650.71	171.23	647.67	177.41	650.30	171.18
91	1	3	646.83	176.72	648.90	170.86	647.32	177.21	649.52	170.77	646.69	176.97	649.07	170.72
92	1	3	645.79	176.33	647.70	170.46	646.32	176.88	648.42	170.40	645.71	176.56	647.95	170.35
93	1	3	644.66	175.99	646.53	170.04	645.03	176.47	647.18	170.00	644.38	176.07	646.79	169.91
94	1	3	643.55	175.71	645.46	169.63	643.77	176.04	646.01	169.60	643.24	175.68	645.85	169.46
95	1	3	642.21	175.36	644.27	169.18	642.51	175.61	644.86	169.16	642.09	175.30	644.70	168.88
96	1	3	640.71	174.90	643.01	168.71	641.29	175.21	643.67	168.70	641.24	175.00	643.55	168.44
97	1	3	639.41	174.39	641.84	168.28	640.07	174.77	642.54	168.29	639.90	174.47	642.34	168.07
98	1	3	638.26	173.89	640.67	167.85	639.00	174.32	641.31	167.89	638.24	173.73	641.24	167.59
99	1	3	637.15	173.42	639.47	167.41	637.56	173.71	640.19	167.45	637.24	173.30	640.10	166.99
100	1	3	636.17	173.04	638.35	166.98	636.57	173.36	639.01	166.86	636.56	173.02	638.96	166.52
101	1	3	635.11	172.70	637.27	166.55	635.48	173.07	637.86	166.34	635.57	172.64	637.80	166.12
102	1	3	633.70	172.32	636.02	166.00	634.27	172.76	636.77	165.90	634.31	172.21	636.57	165.69
103	1	3	632.31	171.91	634.92	165.47	632.94	172.29	635.54	165.44	632.96	171.78	635.42	165.22
104	1	3	630.99	171.43	633.90	164.96	631.59	171.76	634.37	164.99	631.59	171.34	634.29	164.70
105	1	3	629.74	170.87	632.83	164.44	630.06	171.12	633.25	164.48	630.25	170.85	633.24	164.19
106	1	3	628.55	170.26	631.72	163.93	628.88	170.59	632.19	163.88	628.74	170.12	632.09	163.63
107	1	3	627.25	169.53	630.47	163.36	627.88	170.11	631.03	163.38	627.60	169.45	630.88	163.09
108	1	3	626.15	168.85	629.43	162.87	626.66	169.43	629.85	162.92	626.52	168.81	629.76	162.59
109	1	3	624.98	168.10	628.34	162.34	625.50	168.75	628.74	162.44	625.40	168.15	628.68	162.08
110	1	3	623.95	167.41	627.38	161.83	624.35	168.12	627.61	161.87	624.19	167.43	627.53	161.51
111	1	3	622.92	166.68	626.37	161.27	623.07	167.46	626.70	161.34	623.02	166.71	626.48	160.93
112	1	3	621.95	165.95	625.39	160.72	621.87	166.70	625.79	160.76	621.93	166.02	625.54	160.37
113	1	3	621.00	165.24	624.40	160.14	620.90	166.03	624.96	160.21	621.14	165.49	624.90	159.94
114	1	3	620.04	164.53	623.32	159.51	619.78	165.18	624.00	159.55	620.23	164.85	624.10	159.39
115	1	3	619.16	163.93	622.25	158.87	618.86	164.44	622.99	158.84	619.36	164.23	623.14	158.72
116	1	3	618.25	163.40	621.15	158.23	618.14	163.92	621.97	158.13	618.69	163.78	622.04	158.03
117	1	3	617.37	162.95	620.14	157.65	617.45	163.51	620.94	157.46	618.12	163.43	621.01	157.48
118	1	3	616.33	162.47	619.00	157.01	616.80	163.16	619.85	156.84	617.10	162.94	619.78	156.88
119	1	3	615.32	162.06	617.93	156.42	615.96	162.78	618.78	156.28	615.94	162.47	618.67	156.35
120	1	3	614.22	161.64	616.82	155.84	614.75	162.36	617.71	155.69	614.60	161.93	617.56	155.77
121	1	3	613.06	161.16	615.76	155.34	612.99	161.77	616.57	155.05	613.33	161.40	616.52	155.20
122	1	3	611.64	160.46	614.60	154.79	611.72	160.97	615.45	154.48	611.90	160.71	615.33	154.51
123	1	3	610.35	159.71	613.47	154.22	610.82	160.36	614.33	153.96	610.68	160.03	614.26	153.91
124	1	3	609.16	158.98	612.29	153.59	609.83	159.73	613.23	153.45	609.59	159.36	613.21	153.32
125	1	3	608.26	158.42	611.32	153.07	608.80	159.10	612.05	152.88	608.55	158.68	612.06	152.69
126	1	3	607.30	157.84	610.22	152.48	607.74	158.50	610.87	152.30	607.77	158.19	611.11	152.19
127	1	3	606.26	157.26	608.98	151.87	606.71	157.97	609.76	151.75	606.72	157.57	609.84	151.53
128	1	3	605.40	156.81	607.94	151.39	605.61	157.45	608.68	151.19	605.83	157.10	608.75	151.01
129	1	3	604.28	156.27	606.73	150.85	604.56	156.97	607.64	150.65	604.93	156.66	607.68	150.52
130	1	3	603.18	155.79	605.64	150.34	603.56	156.49	606.49	150.11	603.98	156.22	606.57	150.05
131	1	3	602.03	155.30	604.51	149.79	602.51	155.98	605.30	149.64	602.86	155.73	605.36	149.56
132	1	3	600.90	154.84	603.41	149.25	601.45	155.44	604.17	149.22	601.67	155.24	604.12	149.06
133	1	3	599.73	154.35	602.28	148.72	600.20	154.82	602.95	148.70	600.54	154.79	602.99	148.61
134	1	3	598.49	153.76	601.12	148.21	599.04	154.33	601.88	148.15	599.39	154.35	601.92	148.16
135	1	3	597.30	153.13	599.97	147.71	597.70	153.83	600.74	147.52	597.87	153.78	600.73	147.59
136	1	3	596.25	152.55	598.84	147.23	596.42	153.30	599.66	146.90	596.52	153.24	599.63	146.97
137	1	3	595.23	151.99	597.67	146.73	595.45	152.86	598.60	146.33	595.29	152.67	598.60	146.42
138	1	4	606.27	128.54	605.66	126.29	606.42	128.43	605.97	126.38	606.43	129.05	605.64	125.70
139	1	4	605.11	128.79	604.64	126.57	605.36	128.68	604.73	126.53	605.07	129.34	604.37	125.99
140	1	4	604.10	129.00	603.54	126.80	604.43	128.99	603.58	126.97	604.10	129.53	603.30	126.25
141	1	4	603.13	129.34	602.35	127.14	603.27	129.70	602.34	127.33	603.21	129.78	602.11	126.60
142	1	4	601.89	129.82	601.13	127.52	601.99	129.97	601.52	127.55	602.25	130.16	600.94	127.05
143	1	4	600.60	130.20	599.94	127.88	600.99	130.26	600.26	127.74	600.94	130.66	599.82	127.55
144	1	4	599.62	130.47	598.97	128.16	600.08	130.51	599.17	128.22	599.77	131.00	598.97	127.83
145	1	4	598.47	130.80	597.79	128.50	598.68	131.02	597.97	128.64	598.65	131.31	597.72	128.13
146	1	4	597.23	131.16	596.56	128.89	597.44	131.35	596.79	129.00	597.50	131.69	596.56	128.45
147	1	4	596.09	131.44	595.49	129.23	595.96	131.54	595.60	129.37	596.09	131.98	595.50	128.73
148	1	4	594.93	131.69	594.44	129.53	595.08	131.72	594.59	129.57	595.11	132.11	594.52	128.94
149	1	4	593.73	131.95	593.31	129.76	593.85	132.00	593.71	129.67	594.16	132.37	593.40	129.12
150	1	5	606.58	83.06	603.90	82.12	606.67	83.38	604.09	82.17	606.82	83.04	604.24	82.24
151	1	5	606.97	82.09	604.33	80.96	607.34	81.67	604.49	80.94	607.21	81.81	604.61	80.99
152	1	5	607.38	81.11	604.92	79.82	607.51	81.00	604.95	79.77	607.53	80.89	605.04	79.83
153	1	5	607.89	80.07	605.49	78.78	608.11	80.04	605.45	78.64	607.88	80.14	605.56	78.75
154	1	5	608.46	79.08	606.09	77.66	608.57	79.32	606.01	77.56	608.66	79.05	606.18	77.59
155	1	5	609.12	78.00	606.79	76.59	609.36	77.88	606.79	76.53	609.42	77.53	606.71	76.51
156	1	5	610.00	76.26	607.31	75.44	610.07	76.29	607.26	75.40	609.85	76.26	607.12	75.35
157	1	5	610.25	74.65	607.57	74.24	610.39	74.88	607.58	74.23	610.26	75.07	607.51	74.15
158	1	5	610.39	73.93	607.87	73.06	610.62	74.00	607.94	73.00	610.66	73.87	607.90	72.94
159	1	5	610.76	73.05	608.32	71.88	611.03	72.98	608.46	71.85	611.06	72.84	608.31	71.75
160	1	5	611.31	71.93	608.91	70.74	611.60	71.67	608.92	70.68	611.57	71.71	608.73	70.58
161	1	5	611.89	70.65	609.46	69.63	611.96	70.71	609.38	69.55	612.10	70.53	609.12	69.41
162	1	5	612.36	69.44	609.91	68.50	612.47	69.59	609.91	68.42	612.60	69.23	609.52	68.19
163	1	5	612.77	68.17	610.42	67.32	613.08	68.11	610.39	67.26	612.97	68.12	609.94	67.01
164	1	5	613.21	66.96	610.76	66.15	613.46	66.93	610.57	66.28	613.28	67.27	610.45	65.91
165	1	5	613.59	66.05	611.17	64.98	613.64	66.45	610.89	65.07	613.71	66.19	611.09	64.88
166	1	5	614.09	64.82	611.74	63.82	614.19	65.16	611.56	64.02	614.28	64.56	611.72	63.70
167	1	5	614.60	63.51	612.18	62.65	614.85	63.42	611.87	62.82	614.60	63.57	611.96	62.80
168	1	5	615.04	62.42	612.57	61.45	615.01	62.52	612.18	61.59	614.99	62.73	612.26	61.55
169	1	5	615.37	61.65	613.12	60.37	615.14	62.11	612.81	60.52	615.45	61.83	612.80	60.41
170	1	5	616.03	60.37	613.75	59.29	615.95	60.75	613.52	59.56	616.03	60.60	613.50	59.36
171	1	5	616.64	58.94	614.19	58.13	616.48	59.27	614.06	58.40	616.44	59.30	614.11	58.27
172	1	5	617.01	57.74	614.57	56.97	616.87	58.26	614.39	57.18	616.99	58.07	614.54	57.17
173	1	5	617.36	56.67	614.96	55.78	617.55	57.15	614.87	56.03	617.47	57.00	614.95	55.95
174	1	5	617.76	55.62	615.45	54.63	617.97	55.68	615.36	54.92	618.08	55.54	615.33	54.79
175	1	6	597.88	82.57	596.40	84.68	597.76	82.68	596.32	84.26	597.95	82.22	596.38	84.35
176	1	6	597.07	81.88	595.37	83.95	596.98	81.81	595.40	83.44	596.90	81.49	595.45	83.72
177	1	6	596.07	81.06	594.41	83.16	595.66	80.75	594.44	82.69	595.97	80.86	594.40	83.02
178	1	6	595.00	80.19	593.34	82.43	594.79	80.22	593.55	82.14	595.05	80.16	593.44	82.29
179	1	6	594.15	79.55	592.42	81.71	594.10	79.66	592.56	81.47	594.11	79.41	592.49	81.65
180	1	6	593.20	78.80	591.42	80.82	593.18	78.80	591.59	80.67	593.23	78.66	591.46	80.99
181	1	6	592.29	78.02	590.56	80.03	592.08	77.92	590.60	79.84	592.37	78.00	590.49	80.19
182	1	6	591.30	77.25	589.61	79.20	591.19	77.28	589.65	79.09	591.44	77.25	589.58	79.26
183	1	6	590.42	76.43	588.63	78.35	590.41	76.68	588.86	78.07	590.52	76.60	588.76	78.38
184	1	6	589.54	75.59	587.73	77.52	589.29	75.57	588.09	77.44	589.59	75.58	587.80	77.53
185	1	6	588.53	74.68	586.81	76.66	588.30	75.01	586.99	76.87	588.56	74.54	586.76	76.83
186	1	6	587.55	73.92	585.90	75.83	587.69	74.57	586.13	76.01	587.85	73.91	585.82	76.05
187	1	6	586.69	73.16	584.97	74.97	586.79	73.66	585.29	75.06	587.13	73.22	584.97	75.13
188	1	6	585.89	72.38	584.10	74.12	585.99	72.62	584.37	74.26	586.33	72.39	584.20	74.17
189	1	6	585.16	71.68	583.35	73.09	585.14	71.80	583.49	73.32	585.50	71.42	583.39	73.14
190	1	6	584.33	70.76	582.65	72.04	584.31	71.02	582.73	72.33	584.72	70.49	582.65	72.18
191	1	6	583.51	69.76	581.89	71.03	583.55	70.11	581.94	71.36	583.79	69.42	581.84	71.23
192	1	6	582.72	68.74	581.12	70.09	582.85	69.11	581.14	70.39	582.96	68.51	580.97	70.31
193	1	6	581.84	67.70	580.26	69.15	582.15	68.11	580.38	69.45	582.25	67.73	580.21	69.38
194	1	6	581.19	66.88	579.38	68.22	581.38	67.04	579.59	68.42	581.40	66.71	579.41	68.35
195	1	6	580.30	65.52	578.57	67.32	580.44	65.92	578.84	67.47	580.37	65.61	578.61	67.40
196	1	6	579.31	64.74	577.74	66.37	579.51	65.05	577.97	66.60	579.52	64.81	577.77	66.54
197	1	6	578.23	63.87	576.87	65.46	578.65	64.18	577.13	65.67	578.55	63.80	576.82	65.67
198	1	6	577.40	63.12	576.01	64.81	577.54	63.09	576.10	64.93	577.53	62.89	575.86	64.81
199	1	6	576.62	62.35	575.02	64.06	576.71	62.47	575.22	64.08	576.60	62.15	575.00	64.01
200	1	6	575.87	61.60	574.17	63.16	575.75	61.68	574.35	63.19	575.73	61.44	574.09	63.10
201	1	6	574.81	60.57	573.30	62.25	574.83	60.87	573.46	62.29	574.91	60.58	573.22	62.21
202	1	6	573.93	59.77	572.36	61.41	573.99	60.04	572.57	61.43	573.88	59.58	572.33	61.36
203	1	6	573.15	59.02	571.51	60.49	573.10	59.04	571.62	60.58	573.00	58.80	571.37	60.51
204	1	6	572.41	58.19	570.73	59.51	572.24	58.17	570.65	59.77	572.37	58.09	570.49	59.62
205	1	6	571.57	57.19	570.01	58.47	571.64	57.46	569.85	58.81	571.63	57.10	569.71	58.70
206	1	6	570.57	56.17	569.24	57.69	570.73	56.32	569.04	57.85	570.63	55.93	568.80	57.75
207	1	6	569.78	55.35	568.25	56.96	569.98	55.40	568.18	57.01	569.89	55.15	568.07	57.14
208	1	6	569.15	54.50	567.27	56.13	569.28	54.49	567.31	56.09	569.38	54.54	567.17	56.29
209	1	6	568.25	53.49	566.48	55.17	568.22	53.43	566.58	55.07	568.48	53.48	566.42	55.24
210	1	6	567.13	52.53	565.65	54.41	567.06	52.58	565.83	54.24	567.30	52.36	565.59	54.30
211	1	6	566.26	51.79	564.63	53.62	566.46	52.03	565.14	53.88	566.32	51.48	564.60	53.53
212	1	6	565.45	50.97	563.71	52.82	565.79	51.36	564.12	53.22	565.50	50.78	563.70	52.67
213	1	7	582.15	126.94	579.62	128.96	582.26	127.34	580.21	129.69	582.31	126.98	579.84	129.16
214	1	7	581.36	125.94	578.83	127.97	581.76	126.76	579.23	129.00	581.66	126.14	579.06	128.42
215	1	7	580.58	125.07	578.11	126.95	581.23	126.05	578.42	127.98	581.14	125.35	578.17	127.52
216	1	7	579.90	124.23	577.43	125.87	580.65	125.23	577.81	126.91	580.72	124.74	577.61	126.44
217	1	7	579.25	123.32	576.83	124.83	579.91	124.17	577.26	125.80	579.75	123.41	577.03	125.31
218	1	7	578.55	122.22	576.15	123.73	579.24	123.19	576.59	124.76	579.19	122.51	576.32	124.29
219	1	7	577.89	121.09	575.43	122.76	578.61	122.12	575.88	123.71	578.46	121.35	575.62	123.25
220	1	7	577.27	120.03	574.67	121.82	577.94	120.59	575.14	122.70	577.85	120.34	574.88	122.20
221	1	7	576.67	119.02	573.89	120.78	577.22	119.74	574.43	121.69	577.39	119.44	574.27	121.14
222	1	7	576.14	118.11	573.24	119.65	576.49	118.94	573.80	120.59	576.62	118.16	573.61	120.06
223	1	7	575.60	117.15	572.72	118.52	575.89	117.93	573.06	119.58	576.01	117.17	572.96	119.04
224	1	7	575.07	116.09	572.21	117.43	575.48	117.03	572.47	118.50	575.45	116.28	572.37	117.94
225	1	7	574.59	114.99	571.64	116.33	574.81	115.66	571.84	117.43	574.82	115.20	571.78	116.80
226	1	7	574.21	114.00	571.12	115.24	574.60	115.27	571.28	116.30	574.34	114.28	571.23	115.69
227	1	7	573.79	112.92	570.70	114.01	573.95	113.96	570.95	115.10	573.91	113.38	570.80	114.51
228	1	7	573.29	111.75	570.36	112.82	573.60	112.70	570.47	113.93	573.45	112.33	570.44	113.31
229	1	7	572.73	110.34	569.86	111.65	573.17	111.81	570.08	112.78	573.01	111.13	570.09	112.13
230	1	7	572.25	109.10	569.25	110.60	572.71	110.58	569.72	111.57	572.51	109.77	569.67	110.91
231	1	7	571.76	108.00	568.68	109.51	572.18	108.92	569.23	110.38	571.97	108.41	569.07	109.87
232	1	7	571.20	106.93	568.18	108.35	571.66	107.66	568.64	109.30	571.53	107.39	568.53	108.80
233	1	7	570.62	105.84	567.70	107.18	571.25	106.92	568.15	108.16	570.92	106.12	567.96	107.53
234	1	7	570.07	104.73	567.21	106.07	570.60	105.71	567.82	106.96	570.41	105.11	567.49	106.51
235	1	7	569.51	103.54	566.64	104.87	569.93	104.41	567.23	105.86	569.84	103.98	566.96	105.38
236	1	7	569.06	102.50	566.11	103.75	569.43	103.35	566.58	104.81	569.30	102.87	566.37	104.21
237	1	7	568.65	101.44	565.63	102.63	568.98	102.33	565.99	103.67	568.88	101.91	565.88	103.09
238	1	7	568.15	100.13	565.12	101.43	568.55	101.35	565.54	102.53	568.44	100.79	565.42	101.91
239	1	7	567.71	99.07	564.65	100.38	568.11	100.40	565.16	101.34	568.00	99.58	564.98	100.78
240	1	7	567.27	98.00	564.14	99.17	567.60	99.18	564.78	100.12	567.49	98.17	564.41	99.60
241	1	7	566.88	96.91	563.73	97.98	567.19	97.98	564.35	99.02	567.11	97.24	563.99	98.47
242	1	7	566.43	95.66	563.37	96.84	566.78	96.60	563.86	97.82	566.45	95.90	563.60	97.26
243	1	7	565.92	94.47	562.92	95.63	566.15	95.00	563.29	96.70	565.79	94.74	563.04	96.18
244	1	7	565.50	93.36	562.47	94.46	565.92	94.56	562.65	95.65	565.45	94.11	562.48	95.00
245	1	7	565.15	92.37	562.08	93.30	565.50	93.56	562.43	94.41	565.07	93.13	562.09	93.85
246	1	7	564.80	91.31	561.74	92.11	565.06	92.40	562.09	93.24	564.87	92.02	561.68	92.64
247	1	7	564.53	90.21	561.36	90.83	564.65	91.45	561.67	92.06	564.76	91.01	561.38	91.46
248	1	7	564.40	89.30	561.07	89.67	564.35	90.71	561.38	90.82	564.67	89.92	561.17	90.21
249	1	7	564.33	88.49	560.93	88.40	564.20	89.64	561.17	89.57	564.59	88.79	561.01	88.95
250	1	7	564.32	87.52	561.04	87.20	564.26	88.47	560.99	88.40	564.54	87.78	560.89	87.77
251	1	7	564.41	86.15	561.27	85.97	564.62	87.12	561.03	87.14	564.59	86.44	560.96	86.49
252	1	7	564.44	84.39	561.39	84.72	564.82	85.89	561.32	85.90	564.67	84.84	561.14	85.20
253	1	7	564.17	82.62	561.25	83.48	564.64	84.59	561.68	84.70	564.36	83.37	561.23	83.96
254	1	7	563.63	81.11	560.85	82.31	564.16	82.47	561.74	83.47	563.80	81.92	561.09	82.77
255	1	7	562.98	79.73	560.35	81.18	563.71	80.94	561.18	82.39	563.23	80.50	560.70	81.56
256	1	7	562.50	79.03	559.87	79.96	563.14	79.96	560.46	81.36	562.74	79.32	560.20	80.46
257	1	7	562.09	78.15	559.48	78.79	562.77	79.35	559.93	80.20	562.31	78.37	559.66	79.32
