			O1				O2				O3			
43	1	2	125.92	91.88	126.08	83.62	125.93	91.17	126.07	84.33	125.93	91.28	126.07	84.22
44	1	2	128.11	91.67	127.87	83.87	128.10	91.28	127.88	84.26	128.10	91.31	127.88	84.23
45	1	2	130.37	91.61	129.57	83.69	130.32	91.09	129.62	84.21	130.31	91.07	129.63	84.23
46	1	2	132.42	91.16	131.68	83.74	132.40	90.91	131.70	83.99	132.40	90.89	131.70	84.01
47	1	2	134.52	91.34	133.50	82.88	134.46	90.81	133.56	83.41	134.44	90.70	133.58	83.52
48	1	2	136.42	90.44	135.56	83.32	136.40	90.30	135.58	83.46	136.39	90.17	135.59	83.59
49	1	2	138.35	90.48	137.57	82.74	138.31	90.05	137.61	83.17	138.31	90.05	137.61	83.17
50	1	2	140.30	90.75	139.60	82.03	140.22	89.82	139.68	82.96	140.23	89.94	139.67	82.84
51	1	2	142.31	90.14	141.55	82.48	142.27	89.70	141.59	82.92	142.28	89.75	141.58	82.87
52	1	2	144.44	90.36	143.60	81.96	144.36	89.57	143.68	82.75	144.36	89.51	143.68	82.81
53	1	2	146.19	89.88	145.81	82.24	146.18	89.74	145.82	82.38	146.20	89.97	145.80	82.15
54	1	2	148.22	89.72	147.78	82.30	148.21	89.43	147.79	82.59	148.19	89.11	147.81	82.91
55	1	2	150.35	89.53	149.63	82.33	150.33	89.32	149.65	82.54	150.31	89.16	149.67	82.70
56	1	2	152.50	90.04	151.64	81.38	152.42	89.15	151.72	82.27	152.43	89.33	151.71	82.09
57	1	2	154.53	89.44	153.55	81.26	154.45	88.78	153.63	81.92	154.48	88.99	153.60	81.71
58	1	2	156.59	89.18	155.43	81.00	156.56	88.97	155.46	81.21	156.56	89.02	155.46	81.16
59	1	2	158.60	88.94	157.36	80.78	158.49	88.26	157.47	81.46	158.48	88.14	157.48	81.58
60	1	2	160.45	88.48	159.45	80.76	160.39	88.01	159.51	81.23	160.39	87.98	159.51	81.26
61	1	2	162.37	88.31	161.49	80.35	162.31	87.75	161.55	80.91	162.31	87.80	161.55	80.86
62	1	2	164.43	88.27	163.59	79.87	164.39	87.86	163.63	80.28	164.42	88.12	163.60	80.02
63	1	2	166.19	87.70	165.81	80.18	166.18	87.52	165.82	80.36	166.19	87.76	165.81	80.12
64	1	2	168.08	87.91	167.92	79.95	168.08	87.85	167.92	80.01	168.08	87.72	167.92	80.14
65	1	2	170.11	87.54	169.89	80.26	170.11	87.71	169.89	80.09	170.11	87.59	169.89	80.21
66	1	2	172.17	88.11	171.83	79.75	172.14	87.38	171.86	80.48	172.14	87.42	171.86	80.44
67	1	2	174.20	87.99	173.78	79.67	174.16	87.27	173.82	80.39	174.16	87.32	173.82	80.34
68	1	2	176.23	87.25	175.73	80.01	176.22	87.04	175.74	80.22	176.23	87.24	175.73	80.02
69	1	2	178.32	87.17	177.56	79.67	178.29	86.88	177.59	79.96	178.30	87.02	177.58	79.82
70	1	2	180.41	87.11	179.65	79.49	180.39	86.86	179.67	79.74	180.38	86.78	179.68	79.82
71	1	2	182.43	87.26	181.61	79.06	182.41	87.02	181.63	79.30	182.41	87.06	181.63	79.26
72	1	2	184.50	87.16	183.50	78.86	184.46	86.86	183.54	79.16	184.47	86.90	183.53	79.12
73	1	2	186.50	86.57	185.42	78.93	186.44	86.14	185.48	79.36	186.44	86.17	185.48	79.33
74	1	2	188.68	85.97	187.44	78.77	188.64	85.78	187.48	78.96	188.65	85.81	187.47	78.93
75	1	2	190.53	85.79	189.45	78.07	190.49	85.51	189.49	78.35	190.50	85.55	189.48	78.31
76	1	2	192.58	85.41	191.28	77.79	192.51	84.96	191.35	78.24	192.52	85.06	191.34	78.14
77	1	2	194.67	84.91	193.39	77.49	194.62	84.63	193.44	77.77	194.61	84.61	193.45	77.79
78	1	2	196.54	84.59	195.42	77.13	196.49	84.24	195.47	77.48	196.51	84.38	195.45	77.34
79	1	2	198.50	84.06	197.34	76.92	198.46	83.85	197.38	77.13	198.49	84.01	197.35	76.97
80	1	2	200.67	84.13	199.39	76.23	200.58	83.59	199.48	76.77	200.59	83.63	199.47	76.73
81	1	2	202.65	83.82	201.29	75.86	202.63	83.67	201.31	76.01	202.63	83.68	201.31	76.00
82	1	2	204.73	83.25	203.45	75.81	204.67	82.92	203.51	76.14	204.67	82.94	203.51	76.12
83	1	2	206.60	83.27	205.44	74.99	206.54	82.82	205.50	75.44	206.54	82.80	205.50	75.46
84	1	2	208.49	82.48	207.45	75.10	208.51	82.63	207.43	74.95	208.51	82.63	207.43	74.95
85	1	2	210.61	82.37	209.19	74.55	210.60	82.31	209.20	74.61	210.58	82.17	209.22	74.75
86	1	2	212.85	82.19	211.19	74.01	212.81	81.99	211.23	74.21	212.77	81.80	211.27	74.40
87	1	2	214.80	81.59	213.16	74.27	214.84	81.77	213.12	74.09	214.82	81.70	213.14	74.16
88	1	2	216.84	80.96	215.16	73.06	216.82	80.86	215.18	73.16	216.72	80.39	215.28	73.63
89	1	2	218.78	81.30	217.16	72.36	218.67	80.70	217.27	72.96	218.63	80.44	217.31	73.22
90	1	2	220.85	80.70	219.29	72.08	220.77	80.26	219.37	72.52	220.69	79.79	219.45	72.99
91	1	2	222.50	79.60	221.54	72.72	222.51	79.62	221.53	72.70	222.51	79.62	221.53	72.70
92	1	2	224.33	78.96	223.61	72.42	224.34	79.04	223.60	72.34	224.33	78.93	223.61	72.45
93	1	2	226.45	79.15	225.61	71.49	226.37	78.35	225.69	72.29	226.43	78.91	225.63	71.73
94	1	2	228.48	78.65	227.56	71.63	228.46	78.53	227.58	71.75	228.45	78.46	227.59	71.82
95	1	2	230.42	78.45	229.60	71.69	230.47	78.92	229.55	71.22	230.45	78.70	229.57	71.44
96	1	2	232.30	78.73	231.68	71.03	232.27	78.34	231.71	71.42	232.28	78.50	231.70	71.26
97	1	2	234.29	77.89	233.63	71.35	234.32	78.20	233.60	71.04	234.31	78.11	233.61	71.13
98	1	2	236.40	78.33	235.48	70.63	236.41	78.37	235.47	70.59	236.36	78.00	235.52	70.96
99	1	2	238.58	77.60	237.52	71.00	238.67	78.17	237.43	70.43	238.64	77.96	237.46	70.64
100	1	2	240.65	77.21	239.31	70.63	240.67	77.34	239.29	70.50	240.65	77.22	239.31	70.62
101	1	2	243.15	77.31	241.03	69.35	243.10	77.11	241.08	69.55	242.97	76.62	241.21	70.04
102	1	2	245.19	76.84	242.63	68.56	244.95	76.05	242.87	69.35	244.94	76.02	242.88	69.38
103	1	2	247.32	75.85	244.64	68.03	247.24	75.61	244.72	68.27	247.10	75.21	244.86	68.67
104	1	2	249.27	74.29	246.91	68.19	249.35	74.48	246.83	68.00	249.33	74.43	246.85	68.05
105	1	2	251.57	73.82	248.85	67.20	251.52	73.71	248.90	67.31	251.49	73.63	248.93	67.39
106	1	2	253.39	73.39	250.41	66.13	253.23	73.01	250.57	66.51	253.21	72.94	250.59	66.58
107	1	2	255.59	72.05	252.11	65.37	255.45	71.79	252.25	65.63	255.45	71.78	252.25	65.64
108	1	2	257.25	70.07	254.41	65.35	257.63	70.71	254.03	64.71	257.60	70.66	254.06	64.76
109	1	2	260.60	69.49	255.62	62.81	260.45	69.29	255.77	63.01	260.20	68.95	256.02	63.35
110	1	2	263.03	67.67	257.63	61.13	262.52	67.05	258.14	61.75	262.47	67.00	258.19	61.80
111	1	2	264.76	66.15	259.08	59.67	264.44	65.79	259.40	60.03	264.23	65.55	259.61	60.27
112	2	1	29.11	23.26	35.19	18.52	29.34	23.08	34.96	18.70	29.24	23.15	35.06	18.63
113	2	1	30.66	25.43	37.30	20.59	30.86	25.29	37.10	20.73	30.95	25.23	37.01	20.79
114	2	1	32.18	27.29	38.24	22.37	32.21	27.26	38.21	22.40	32.34	27.15	38.08	22.51
115	2	1	33.98	29.87	39.62	24.51	34.05	29.81	39.55	24.57	34.16	29.71	39.44	24.67
116	2	1	36.40	32.03	41.60	25.97	36.42	32.00	41.58	26.00	36.59	31.81	41.41	26.19
117	2	1	38.11	33.97	43.45	26.63	38.47	33.46	43.09	27.14	38.36	33.62	43.20	26.98
118	2	1	40.98	35.16	45.10	28.72	40.96	35.19	45.12	28.69	40.91	35.27	45.17	28.61
119	2	1	42.82	36.63	46.94	29.77	42.88	36.53	46.88	29.87	42.98	36.36	46.78	30.04
120	2	1	44.89	37.94	48.79	30.64	45.01	37.73	48.67	30.85	45.22	37.33	48.46	31.25
121	2	1	46.86	38.92	50.86	31.60	47.01	38.65	50.71	31.87	46.95	38.76	50.77	31.76
122	2	1	49.56	39.63	53.14	33.09	49.46	39.83	53.24	32.89	49.63	39.50	53.07	33.22
123	2	1	51.95	40.63	54.65	33.85	51.85	40.86	54.75	33.62	51.89	40.76	54.71	33.72
124	2	1	53.58	41.56	56.44	34.40	53.57	41.58	56.45	34.38	53.59	41.54	56.43	34.42
125	2	1	55.70	42.47	58.44	35.19	55.70	42.46	58.44	35.20	55.72	42.43	58.42	35.23
126	2	1	57.76	43.30	60.60	35.74	57.82	43.14	60.54	35.90	57.87	42.99	60.49	36.05
127	2	1	59.76	44.30	62.74	36.38	59.86	44.02	62.64	36.66	60.03	43.59	62.47	37.09
128	2	1	61.61	44.47	64.51	37.21	61.60	44.49	64.52	37.19	61.74	44.15	64.38	37.53
129	2	1	63.33	45.65	66.79	38.11	63.46	45.38	66.66	38.38	63.53	45.22	66.59	38.54
130	2	1	65.26	46.60	68.98	38.88	65.45	46.20	68.79	39.28	65.63	45.82	68.61	39.66
131	2	1	67.01	47.82	71.09	39.98	67.27	47.33	70.83	40.47	67.42	47.03	70.68	40.77
132	2	1	69.12	48.60	73.02	41.12	69.27	48.32	72.87	41.40	69.46	47.96	72.68	41.76
133	2	1	71.12	49.81	74.98	42.01	71.33	49.39	74.77	42.43	71.44	49.17	74.66	42.65
134	2	1	73.24	50.65	76.84	43.19	73.34	50.45	76.74	43.39	73.45	50.21	76.63	43.63
135	2	1	75.35	51.70	78.79	44.00	75.49	51.39	78.65	44.31	75.55	51.26	78.59	44.44
136	2	1	77.55	52.54	80.61	45.08	77.62	52.37	80.54	45.25	77.69	52.19	80.47	45.43
137	2	1	79.70	53.26	82.64	45.88	79.70	53.26	82.64	45.88	79.87	52.83	82.47	46.31
138	2	1	81.79	54.14	84.75	46.48	81.85	53.96	84.69	46.66	81.96	53.68	84.58	46.94
139	2	1	83.62	54.45	86.36	47.59	83.54	54.64	86.44	47.40	83.69	54.28	86.29	47.76
140	2	1	85.52	55.70	88.60	48.00	85.63	55.44	88.49	48.26	85.75	55.13	88.37	48.57
141	2	1	87.59	56.41	90.65	48.99	87.64	56.29	90.60	49.11	87.79	55.95	90.45	49.45
142	2	1	89.72	57.20	92.60	49.98	89.71	57.21	92.61	49.97	89.85	56.87	92.47	50.31
143	2	1	91.77	58.25	94.65	50.61	91.84	58.08	94.58	50.78	92.01	57.62	94.41	51.24
144	2	1	93.99	58.87	96.51	51.73	93.96	58.94	96.54	51.66	94.09	58.58	96.41	52.02
145	2	1	95.86	59.55	98.18	52.33	95.84	59.64	98.20	52.24	95.96	59.25	98.08	52.63
146	2	1	97.95	60.18	100.35	52.92	97.95	60.18	100.35	52.92	98.07	59.82	100.23	53.28
147	2	1	100.09	60.93	102.45	53.29	100.24	60.43	102.30	53.79	100.25	60.41	102.29	53.81
148	2	1	101.90	61.55	104.26	53.93	101.92	61.48	104.24	54.00	102.04	61.09	104.12	54.39
149	2	1	104.08	62.08	106.30	54.62	104.20	61.66	106.18	55.04	104.20	61.68	106.18	55.02
150	2	1	105.87	62.77	108.05	55.49	105.84	62.88	108.08	55.38	106.00	62.36	107.92	55.90
151	2	1	108.18	63.36	109.98	56.00	108.14	63.50	110.02	55.86	108.22	63.18	109.94	56.18
152	2	1	110.20	63.57	111.78	56.47	110.14	63.84	111.84	56.20	110.19	63.58	111.79	56.46
153	2	1	112.27	64.12	114.01	56.66	112.24	64.24	114.04	56.54	112.32	63.89	113.96	56.89
154	2	1	114.11	64.25	116.03	57.27	114.02	64.55	116.12	56.97	114.11	64.21	116.03	57.31
155	2	1	115.96	65.13	118.42	57.71	116.10	64.70	118.28	58.14	116.12	64.64	118.26	58.20
156	2	1	117.90	65.99	120.58	58.67	118.06	65.56	120.42	59.10	118.04	65.61	120.44	59.05
157	2	1	119.48	66.79	122.50	59.23	119.56	66.58	122.42	59.44	119.72	66.19	122.26	59.83
158	2	1	121.91	67.30	124.25	60.24	121.97	67.12	124.19	60.42	121.96	67.14	124.20	60.40
159	2	1	124.05	68.42	126.23	60.58	124.11	68.22	126.17	60.78	124.19	67.93	126.09	61.07
160	2	1	126.48	68.68	127.52	61.32	126.47	68.79	127.53	61.21	126.47	68.76	127.53	61.24
161	2	1	128.28	69.18	129.60	61.50	128.28	69.18	129.60	61.50	128.28	69.18	129.60	61.50
162	2	1	130.65	69.52	131.43	61.72	130.65	69.53	131.43	61.71	130.69	69.08	131.39	62.16
163	2	1	132.82	69.55	133.20	62.11	132.81	69.74	133.21	61.92	132.84	69.32	133.18	62.34
164	2	1	135.00	70.39	135.00	61.49	135.00	69.42	135.00	62.46	135.00	69.45	135.00	62.43
														
														
														
														
														
														
